País de origem,País de destino,Volume Litro,Valor Litro,Valor Total
Brasil,"Alemanha, República Democrática","913,857.00",US$ 2.82,"US$ 2,578,247.00"
Brasil,Angola,"168,868.00",US$ 3.41,"US$ 576,189.00"
Brasil,Austrália,"277,139.00",US$ 1.74,"US$ 482,813.00"
Brasil,Bolívia,"226,347.00",US$ 1.44,"US$ 327,068.00"
Brasil,Bélgica,"402,762.00",US$ 3.47,"US$ 1,395,909.00"
Brasil,Canadá,"207,030.00",US$ 5.50,"US$ 1,139,596.00"
Brasil,China,"2,583,375.00",US$ 1.91,"US$ 4,929,621.00"
Brasil,Dinamarca,"79,838.00",US$ 4.90,"US$ 390,836.00"
Brasil,Emirados Arabes Unidos,"18,729.00",US$ 8.09,"US$ 151,605.00"
Brasil,Estados Unidos,"3,793,194.00",US$ 2.67,"US$ 10,113,658.00"
Brasil,França,"319,818.00",US$ 2.30,"US$ 735,081.00"
Brasil,Hong Kong,"165,387.00",US$ 3.17,"US$ 524,919.00"
Brasil,Itália,"28,519.00",US$ 5.92,"US$ 168,963.00"
Brasil,Japão,"1,204,634.00",US$ 2.02,"US$ 2,435,496.00"
Brasil,Luxemburgo,"67,122.00",US$ 5.62,"US$ 376,982.00"
Brasil,Nova Zelândia,"14,368.00",US$ 5.73,"US$ 82,386.00"
Brasil,Países Baixos,"1,238,398.00",US$ 3.07,"US$ 3,796,569.00"
Brasil,Polônia,"154,773.00",US$ 3.95,"US$ 611,670.00"
Brasil,Portugal,"433,328.00",US$ 1.45,"US$ 627,730.00"
Brasil,Reino Unido,"1,250,877.00",US$ 3.83,"US$ 4,796,011.00"
Brasil,Suriname,"30,206.00",US$ 1.71,"US$ 51,625.00"
Brasil,Suécia,"98,535.00",US$ 3.54,"US$ 348,397.00"
Brasil,Suíça,"155,394.00",US$ 6.02,"US$ 935,027.00"
Brasil,"Tcheca, República","66,934.00",US$ 5.37,"US$ 359,743.00"
,Total,"13,899,432.00",,"US$ 37,936,141.00"
